rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/0814255,Andrew L. Urban,FALSE,Urban Cinefile,Fresh,,2010/2/6,A fantasy adventure that fuses Greek mythology to contemporary American places and values. Anyone around 15 (give or take a couple of years) will thrill to the visual spectacle
m/0814255,Louise Keller,FALSE,Urban Cinefile,Fresh,,2010/2/6,"Uma Thurman as Medusa, the gorgon with a coiffure of writhing snakes and stone-inducing hypnotic gaze is one of the highlights of this bewitching fantasy"
m/0814255,,FALSE,FILMINK (Australia),Fresh,,2010/2/9,"With a top-notch cast and dazzling special effects, this will tide the teens over until the next Harry Potter instalment."
m/0814255,Ben McEachen,FALSE,Sunday Mail (Australia),Fresh,3.5/5,2010/2/9,"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?"
m/0814255,Ethan Alter,TRUE,Hollywood Reporter,Rotten,,2010/2/10,"What's really lacking in The Lightning Thief is a genuine sense of wonder, the same thing that brings viewers back to Hogwarts over and over again."
m/0814255,David Germain,TRUE,Associated Press,Rotten,,2010/2/10,It's more a list of ingredients than a movie-magic potion to enjoy from start to finish.
m/0814255,Nick Schager,FALSE,Slant Magazine,Rotten,1月4日,2010/2/10,Harry Potter knockoffs don't come more transparent and slapdash than this wannabe-franchise jumpstarter directed by Chris Columbus.
m/0814255,Bill Goodykoontz,TRUE,Arizona Republic,Fresh,3.5/5,2010/2/10,"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references."
m/0814255,Jordan Hoffman,FALSE,UGO,Fresh,B,2010/2/10,"Fun, brisk and imaginative"
m/0814255,Jim Schembri,TRUE,The Age (Australia),Fresh,3月5日,2010/2/10,"Crammed with dragons, set-destroying fights and things exploding, [Columbus] squeezes in a few well-meaning pause breaks about friendship and absent fathers before swiftly moving on to the next pyrotechnics display."
m/0814255,Mark Adams,FALSE,Daily Mirror (UK),Fresh,4月5日,2010/2/10,"This action-packed fantasy adventure, based on Rick Riordan's hit Percy Jackson and the Olympians series of books, is great fun, and deserves to find an audience with teens now bereft of any Harry Potter magic."
m/0814255,Roger Moore,TRUE,Orlando Sentinel,Rotten,2月4日,2010/2/10,"For what it is and for whom it is intended, it's not a bad movie, just an indifferent one."
m/0814255,David Jenkins,TRUE,Time Out,Rotten,2月5日,2010/2/10,"Chris Columbus returns to his comfort zone for this mirthless, episodic fantasy saga based on the young-reader book series by Rick Riordan."
m/0814255,Joshua Tyler,FALSE,CinemaBlend,Fresh,3月5日,2010/2/11,The best thing you can say about Chris Columbus's adaptation is that he's incapable of destroying whatever magic and wonder it is in these books that has kept kids coming back for more.
m/0814255,Peter Paras,FALSE,E! Online,Rotten,C,2010/2/11,This cast is simply too generic. None of the young thespians stick out.
m/0814255,Vic Holtreman,FALSE,Screen Rant,Fresh,3.5/5,2010/2/11,"Percy Jackson may not be ""Harry Potter good,"" but kids will really enjoy it and parents will be happy to have a moviethey can bring them to that's family-friendly."
m/0814255,MaryAnn Johanson,FALSE,Flick Filosopher,Fresh,,2010/2/11,"[P]erfectly inoffensive, occasionally clever... It's in the few genuinely cinematically joyful moments, the ones that do rise above the formula, that you realize how much more this could have been..."
m/0814255,Mark Dujsik,FALSE,Mark Reviews Movies,Rotten,2.5/4,2010/2/11,"Admirably, the movie isn't bogged down in the exposition common to first entries, but at the end, it's a franchise searching for its voice."
